"","player","PTS","TRB","AST","STL","BLK","missed_fg","missed_ft","TOV","G","EFF","salary"
"328","Thabo Sefolosha",98,64,18,22,9,34,7,13,13,-9.62245632947423,4e+06
"329","Tony Allen",97,60,15,25,4,54,9,13,15,-9.3862402271931,5168539
"330","Tony Snell",78,39,14,3,5,54,1,13,13,-8.54018595187279,1535880
"331","Trevor Ariza",172,77,27,27,4,101,9,24,14,-16.2203544394882,8193030
"332","Wesley Johnson",79,25,5,7,5,26,2,4,14,-4.60597751144162,1100600
"333","Alec Burks",198,47,28,12,2,92,11,26,13,-15.5468815950675,9213484
"334","Allen Crabbe",132,34,17,11,2,57,2,12,16,-7.50453107576799,947276
"335","Andre Iguodala",146,74,67,23,3,50,8,17,16,-11.1811257478728,11710456
"336","Andre Roberson",72,44,11,9,8,35,5,5,14,-6.21789173445944,1210800
"337","Andrew Wiggins",290,47,26,8,9,132,26,28,13,-20.4731297622156,5758680
"338","Anthony Morrow",76,17,6,10,1,41,0,6,14,-5.14427809051487,3344000
"339","Archie Goodwin",42,20,7,1,1,16,10,10,10,-5.8684741745874,1160160
"340","Arron Afflalo",87,26,15,0,0,50,2,7,7,-12.4435947894528,8e+06
"341","Austin Rivers",119,24,14,13,3,63,13,11,14,-8.98052241339851,3100000
"342","Avery Bradley",190,35,26,19,3,82,6,17,12,-14.2459830225585,7730337
"343","Ben McLemore",115,25,18,9,1,55,4,24,15,-8.83942014386367,3156600
"344","Bradley Beal",163,34,19,9,2,73,7,22,8,-19.8986222868636,5694674
"345","Brandon Knight",300,63,75,20,7,137,8,52,14,-23.8147720952223,1.2e+07
"346","Brandon Rush",20,18,4,2,1,13,2,3,8,-4.02827428313459,1270964
"347","C.J. McCollum",319,56,51,15,6,149,6,35,16,-18.6140123275515,2525160
"348","Courtney Lee",126,44,17,19,5,79,2,13,15,-9.91829900093568,5675000
"349","Danny Green",112,60,35,8,9,77,3,20,14,-12.1444448678481,1e+07
"350","DeMar DeRozan",313,67,63,18,3,139,24,40,15,-21.5230887594896,9500000
"351","Devin Booker",53,13,4,4,3,19,2,6,11,-4.31590557663485,2127840
"352","Devyn Marble",0,1,0,1,0,4,0,0,2,-2.08959270674855,845059
"353","Dion Waiters",166,54,29,18,3,84,6,26,15,-12.9038292176463,5138430
"354","Dwyane Wade",221,39,56,14,7,110,12,25,12,-19.4014196493785,2e+07
"355","E'Twaun Moore",68,24,13,6,2,32,2,8,13,-5.65822549305038,1015421
"356","Elijah Millsap",12,9,4,1,1,9,3,2,8,-2.77267965847248,845059
"357","Eric Gordon",259,37,45,17,3,134,6,23,14,-17.37093037165,15514031
"358","Evan Turner",127,62,50,14,5,65,4,28,14,-13.3029240350382,3425510
"359","Gary Harris",152,41,28,16,3,61,4,21,15,-10.3428301791457,1587480
"360","Gary Neal",100,19,10,6,0,46,0,10,11,-7.91242001594535,2100000
"361","Gerald Green",53,18,3,0,1,40,2,4,7,-8.50827851949819,1356000
"362","Gerald Henderson",37,16,2,3,1,31,5,9,8,-7.60911761551494,6e+06
"363","Goran Dragic",139,46,60,12,3,73,7,29,13,-14.9310942759001,14780000
"364","Hollis Thompson",131,63,23,10,4,71,5,26,15,-11.6159744948126,947276
"365","Ian Clark",33,11,13,3,2,17,1,6,12,-3.66623797519339,947276
"366","J.J. Redick",158,14,17,6,2,58,4,15,11,-10.9315073216571,6867000
"367","J.R. Smith",118,34,23,6,6,70,6,14,11,-12.4900071838341,5e+06
"368","Jamal Crawford",194,27,30,9,1,99,3,18,14,-12.6043165718515,5675000
"369","James Anderson",28,7,5,4,1,21,1,8,9,-4.90539690701177,1015421
"370","James Harden",391,87,90,28,14,178,18,67,14,-31.5227294057969,15756438
"371","James Young",3,0,0,1,0,0,0,0,2,-0.505042029954423,1749840
"372","Jared Cunningham",45,14,10,5,2,26,9,8,12,-5.35266779282417,981348
"373","Jason Terry",58,12,15,5,2,32,0,12,12,-6.00154969317439,1499187
"374","Jeremy Lamb",162,57,19,7,7,58,5,10,13,-10.5454195355668,3034356
"375","Jerryd Bayless",165,38,49,17,3,73,6,26,14,-13.2978968686483,3e+06
"376","Jimmy Butler",274,68,44,27,9,106,20,20,13,-19.373624471832,15260000
"377","Jodie Meeks",2,2,0,0,0,4,0,1,2,-3.08178815660569,6270000
"378","Joe Harris",3,3,2,0,0,3,0,1,5,-1.38565294523154,845059
"379","John Jenkins",24,10,5,1,0,17,0,4,5,-6.37869173894085,981000
"380","Jonathon Simmons",4,3,2,1,0,1,0,0,3,-1.43136000952007,525093
"381","Jordan Adams",7,2,3,3,0,4,2,2,2,-6.65654543947457,1404600
"382","Jordan Clarkson",209,41,28,12,4,97,7,27,14,-14.6211582020893,845059
"383","Josh Richardson",9,3,2,1,0,5,1,2,4,-3.14422758721196,525093
"384","Justin Anderson",35,14,2,2,2,14,1,6,11,-3.41721993815628,1449000
"385","Justin Holiday",48,18,9,8,4,33,1,9,13,-5.34054302858461,947300
"386","K.J. McDaniels",9,7,1,1,2,10,2,3,5,-4.31787173182992,3333333
"387","Kentavious Caldwell-Pope",193,38,19,19,3,94,5,17,14,-12.7367884428222,2891760
"388","Kevin Martin",170,35,19,7,0,87,8,16,13,-12.3444455281296,7085000
"389","Khris Middleton",192,44,34,17,3,101,6,18,14,-13.9355354204398,1.5e+07
"390","Kirk Hinrich",48,6,13,5,0,14,1,4,6,-6.381267283786,2870000
"391","Klay Thompson",243,55,41,8,12,115,6,31,15,-16.3787521863818,15500000
"392","Kyle Korver",150,55,31,9,3,54,2,19,14,-10.5964228717334,5746479
"393","Lamar Patterson",36,22,17,4,0,17,4,6,10,-5.33054959603594,525093
"394","Leandro Barbosa",79,19,24,14,2,47,3,11,13,-7.72102970347216,2500000
"395","Lou Williams",172,33,34,10,3,86,14,21,14,-13.0631548410874,7e+06
"396","Luis Montero",3,1,0,0,0,1,0,1,2,-1.73267718596766,525093
"397","Manu Ginobili",128,38,37,14,2,51,3,17,11,-12.4342583279496,2814000
"398","Marco Belinelli",188,23,39,10,0,96,7,23,15,-12.4864001472761,6333333
"399","Marcus Thornton",138,42,21,13,1,86,0,7,12,-11.6788399905358,1186000
"400","Markel Brown",23,4,8,3,1,21,2,4,7,-5.26330090389881,845059
"401","Matthew Dellavedova",110,32,83,11,0,53,2,19,14,-11.0214937872437,1147280
"402","Monta Ellis",175,49,74,24,7,101,10,41,14,-18.7047325963119,10300000
"403","Nick Young",130,26,9,9,3,63,0,10,14,-7.96929436948081,5219169
"404","Nicolas Batum",237,86,57,14,8,97,6,42,14,-19.4035052470745,12235750
"405","Nik Stauskas",129,36,29,8,4,89,5,18,14,-11.723195844528,2869440
"406","Norman Powell",10,9,1,3,0,17,0,3,8,-3.31848744548353,650000
"407","Pat Connaughton",5,1,0,0,0,3,0,1,4,-1.35018296853951,525093
"408","R.J. Hunter",34,14,3,6,1,17,0,5,9,-4.36271205013551,1148640
"409","Randy Foye",67,22,22,6,2,62,2,14,15,-7.40255475251686,3270000
"410","Rashad Vaughn",30,6,1,1,2,14,0,5,9,-3.28646684107404,1733040
"411","Rodney Hood",155,27,35,16,4,77,4,22,12,-13.9692636114722,1348440
"412","Sasha Vujacic",43,36,18,8,1,45,1,11,12,-7.70544508871546,1356146
"413","Shabazz Muhammad",109,34,5,1,1,43,6,13,14,-7.05076633547199,2056920
"414","Sonny Weems",9,14,9,3,0,9,2,10,9,-4.40527571217984,2800000
"415","Troy Daniels",7,3,1,0,0,4,1,1,5,-1.74993022183028,947276
"416","Tyler Johnson",106,32,21,8,6,34,6,13,12,-8.66555648346908,845059
"417","Victor Oladipo",154,74,43,16,8,104,6,18,12,-17.6196447168789,5192520
"418","Vince Carter",19,10,0,3,2,13,1,4,4,-7.11482518198503,4088091
"419","Wayne Ellington",45,16,9,9,1,37,0,1,13,-4.27522763647264,1500000
"420","Wayne Ellington",45,16,9,9,1,37,0,1,13,-4.27522763647264,923780
"421","Wesley Matthews",145,32,22,9,1,84,4,13,13,-11.3163275245963,16400000
"422","Will Barton",203,73,28,18,9,81,5,15,15,-12.6127933546541,1450000
